code_insee,nom_commune,code_departement,code_region,annee,nb_mutations,nb_maisons,nb_appartements,prop_maison,prop_appartement,prix_moyen,prix_m2_moyen,surface_moyenne,population,latitude,longitude
01001,L'Abergement-Clémenciat,01,84.0,2024,4,4.0,0.0,0.0,100.0,290575,3258,96,860.0,46.1517,4.9306
01002,L'Abergement-de-Varey,01,84.0,2024,2,2.0,0.0,0.0,100.0,267500,1942,140,270.0,46.0071,5.4247
01004,Ambérieu-en-Bugey,01,84.0,2024,133,70.0,63.0,47.0,53.0,194332,2323,83,15934.0,45.9575,5.3706
01005,Ambérieux-en-Dombes,01,84.0,2024,47,16.0,31.0,66.0,34.0,228481,2711,85,1906.0,45.9992,4.9119
01007,Ambronay,01,84.0,2024,24,24.0,0.0,0.0,100.0,223065,2322,95,2841.0,46.0099,5.3627
01008,Ambutrix,01,84.0,2024,10,10.0,0.0,0.0,100.0,239000,2431,100,760.0,45.9347,5.3359
01009,Andert-et-Condon,01,84.0,2024,10,9.0,1.0,10.0,90.0,234210,2084,117,348.0,45.7841,5.6607
01010,Anglefort,01,84.0,2024,10,10.0,0.0,0.0,100.0,242510,2437,98,1174.0,45.9086,5.7948
01011,Apremont,01,84.0,2024,1,1.0,0.0,0.0,100.0,209000,1384,151,415.0,46.2045,5.6619
01012,Aranc,01,84.0,2024,2,2.0,0.0,0.0,100.0,71250,1029,76,331.0,45.9972,5.514
01013,Arandas,01,84.0,2024,3,3.0,0.0,0.0,100.0,118000,1912,71,138.0,45.8885,5.4982
01014,Arbent,01,84.0,2024,17,9.0,8.0,47.0,53.0,199952,2471,93,3555.0,46.2838,5.6879
01015,Arboys en Bugey,01,84.0,2024,5,5.0,0.0,0.0,100.0,203560,1706,116,710.0,45.7189,5.6404
01016,Arbigny,01,84.0,2024,3,3.0,0.0,0.0,100.0,203770,2141,96,462.0,46.4808,4.9613
01017,Argis,01,84.0,2024,13,12.0,1.0,8.0,92.0,104308,1154,95,419.0,45.9322,5.4819
01019,Armix,01,84.0,2024,1,1.0,0.0,0.0,100.0,150000,1705,88,25.0,45.8523,5.5837
01021,Ars-sur-Formans,01,84.0,2024,9,7.0,2.0,22.0,78.0,277627,2811,100,1528.0,45.9904,4.8195
01022,Artemare,01,84.0,2024,21,21.0,0.0,0.0,100.0,197651,2013,99,1139.0,45.8701,5.692
01023,Asnières-sur-Saône,01,84.0,2024,1,1.0,0.0,0.0,100.0,276300,2047,135,78.0,46.3859,4.882
01024,Attignat,01,84.0,2024,28,25.0,3.0,11.0,89.0,239011,2318,100,3409.0,46.2858,5.1823
01025,Bâgé-Dommartin,01,84.0,2024,31,30.0,1.0,3.0,97.0,190972,1874,104,4050.0,46.3277,4.9704
01026,Bâgé-le-Châtel,01,84.0,2024,10,10.0,0.0,0.0,100.0,203533,2157,92,971.0,46.3081,4.9305
