code_insee,nom_commune,code_departement,code_region,population,longitude,latitude
01001,L'Abergement-Clémenciat,01,84,860.0,4.9306,46.1517
01002,L'Abergement-de-Varey,01,84,270.0,5.4247,46.0071
01004,Ambérieu-en-Bugey,01,84,15934.0,5.3706,45.9575
01005,Ambérieux-en-Dombes,01,84,1906.0,4.9119,45.9992
01006,Ambléon,01,84,115.0,5.5928,45.7483
01007,Ambronay,01,84,2841.0,5.3627,46.0099
01008,Ambutrix,01,84,760.0,5.3359,45.9347
01009,Andert-et-Condon,01,84,348.0,5.6607,45.7841
01010,Anglefort,01,84,1174.0,5.7948,45.9086
01011,Apremont,01,84,415.0,5.6619,46.2045
01012,Aranc,01,84,331.0,5.514,45.9972
01013,Arandas,01,84,138.0,5.4982,45.8885
01014,Arbent,01,84,3555.0,5.6879,46.2838
01015,Arboys en Bugey,01,84,710.0,5.6404,45.7189
01016,Arbigny,01,84,462.0,4.9613,46.4808
01017,Argis,01,84,419.0,5.4819,45.9322
01019,Armix,01,84,25.0,5.5837,45.8523
01021,Ars-sur-Formans,01,84,1528.0,4.8195,45.9904
01022,Artemare,01,84,1139.0,5.692,45.8701
01023,Asnières-sur-Saône,01,84,78.0,4.882,46.3859
01024,Attignat,01,84,3409.0,5.1823,46.2858
01025,Bâgé-Dommartin,01,84,4050.0,4.9704,46.3277
01026,Bâgé-le-Châtel,01,84,971.0,4.9305,46.3081
01027,Balan,01,84,3077.0,5.1076,45.8268
01028,Baneins,01,84,621.0,4.9045,46.1117
01029,Beaupont,01,84,734.0,5.2634,46.4274
01030,Beauregard,01,84,872.0,4.7567,46.0012
01031,Bellignat,01,84,3525.0,5.6371,46.2402
01032,Béligneux,01,84,3535.0,5.1415,45.8622
01033,Valserhône,01,84,16712.0,5.7944,46.1234
01034,Belley,01,84,9388.0,5.6927,45.743
01035,Belleydoux,01,84,306.0,5.7816,46.2519
01036,Valromey-sur-Séran,01,84,1351.0,5.6626,45.9236
01037,Bénonces,01,84,311.0,5.4834,45.842
01038,Bény,01,84,777.0,5.2789,46.3189
01040,Béréziat,01,84,475.0,5.0431,46.3699
01041,Bettant,01,84,774.0,5.3648,45.9366
01042,Bey,01,84,286.0,4.844,46.2182
01043,Beynost,01,84,5198.0,4.9964,45.8359
01044,Billiat,01,84,713.0,5.7632,46.0778
01045,Birieux,01,84,275.0,5.0401,45.9509
01046,Biziat,01,84,889.0,4.9393,46.224
01047,Blyes,01,84,1401.0,5.2515,45.8442
